starttime	seconds	ctime	dtime	ttime	wait
Sun Nov 05 18:10:38 2023	1699197038	0	28	28	9
Sun Nov 05 18:10:39 2023	1699197039	0	158	158	158
Sun Nov 05 18:10:38 2023	1699197038	0	160	160	160
Sun Nov 05 18:10:38 2023	1699197038	0	161	161	160
Sun Nov 05 18:10:38 2023	1699197038	0	162	162	162
Sun Nov 05 18:10:38 2023	1699197038	0	162	162	161
Sun Nov 05 18:10:38 2023	1699197038	0	164	164	164
Sun Nov 05 18:10:38 2023	1699197038	1	192	192	192
Sun Nov 05 18:10:38 2023	1699197038	0	194	194	194
Sun Nov 05 18:10:38 2023	1699197038	0	195	195	194
Sun Nov 05 18:10:38 2023	1699197038	0	198	198	197
Sun Nov 05 18:10:38 2023	1699197038	0	198	198	197
Sun Nov 05 18:10:38 2023	1699197038	0	198	198	197
Sun Nov 05 18:10:38 2023	1699197038	0	199	199	198
Sun Nov 05 18:10:38 2023	1699197038	0	199	199	197
Sun Nov 05 18:10:38 2023	1699197038	1	199	200	199
Sun Nov 05 18:10:38 2023	1699197038	0	201	201	201
Sun Nov 05 18:10:40 2023	1699197040	0	203	203	203
Sun Nov 05 18:10:40 2023	1699197040	0	209	209	209
Sun Nov 05 18:10:40 2023	1699197040	0	210	210	209
Sun Nov 05 18:10:38 2023	1699197038	0	210	210	210
Sun Nov 05 18:10:38 2023	1699197038	1	210	211	210
Sun Nov 05 18:10:38 2023	1699197038	0	216	216	216
Sun Nov 05 18:10:38 2023	1699197038	0	220	220	219
Sun Nov 05 18:10:38 2023	1699197038	0	224	224	224
Sun Nov 05 18:10:38 2023	1699197038	1	225	226	225
Sun Nov 05 18:10:38 2023	1699197038	0	227	227	227
Sun Nov 05 18:10:38 2023	1699197038	0	228	228	228
Sun Nov 05 18:10:38 2023	1699197038	0	230	230	229
Sun Nov 05 18:10:40 2023	1699197040	0	234	234	234
Sun Nov 05 18:10:40 2023	1699197040	1	235	236	233
Sun Nov 05 18:10:38 2023	1699197038	0	238	238	237
Sun Nov 05 18:10:38 2023	1699197038	0	238	238	237
Sun Nov 05 18:10:38 2023	1699197038	0	242	242	241
Sun Nov 05 18:10:38 2023	1699197038	0	244	244	243
Sun Nov 05 18:10:38 2023	1699197038	1	245	245	245
Sun Nov 05 18:10:38 2023	1699197038	0	246	246	245
Sun Nov 05 18:10:38 2023	1699197038	0	247	247	247
Sun Nov 05 18:10:38 2023	1699197038	0	253	253	252
Sun Nov 05 18:10:38 2023	1699197038	0	253	253	252
Sun Nov 05 18:10:38 2023	1699197038	1	254	255	254
Sun Nov 05 18:10:38 2023	1699197038	1	259	260	258
